zBasicContext.prg;6;15;cTheme;ZBasicContext;~""?"auto","dark","light";;0
zBasicContext.prg;4;36;SetColor;ZBasicContext;;cName::0#cValue::0#lDark::0#;
zBasicDateTime.prg;3;12;;ZBasicDateTime;;;WInput
zBasicDateTime.prg;6;15;cType;ZBasicDateTime;~"date"?"date","datetime-local","month","time","week";;0
zBasicDateTime.prg;6;16;nMax;ZBasicDateTime;~NIL?;;0
zBasicDateTime.prg;6;17;nMin;ZBasicDateTime;~NIL?;;0
zBasicDateTime.prg;6;18;nStep;ZBasicDateTime;~NIL?;;0
zBasicDateTime.prg;6;14;xValue;ZBasicDateTime;~NIL?;;0
zBasicEdit.prg;3;13;;ZBasicEdit;;;WInputText
zBasicEdit.prg;6;18;cPattern;ZBasicEdit;~""?;;0
zBasicEdit.prg;6;19;cPicture;ZBasicEdit;~""?;;0
zBasicEdit.prg;6;16;cText;ZBasicEdit;~""?;;0
zBasicEdit.prg;6;15;cType;ZBasicEdit;~"text"?"text","password","tel","url","search";;0
zBasicEdit.prg;6;17;cValue;ZBasicEdit;~""?;;4
zBasicEdit.prg;6;21;nMaxLength;ZBasicEdit;~NIL?;;0
zBasicEdit.prg;6;22;nMinLength;ZBasicEdit;~NIL?;;0
zBasicEdit.prg;6;20;nSize;ZBasicEdit;~NIL?;;0
zBasicEmail.prg;3;12;;ZBasicEmail;;;WInputText
zBasicEmail.prg;6;15;cText;ZBasicEmail;~""?;;0
zBasicEmail.prg;6;14;cValue;ZBasicEmail;~""?;;0
zBasicEmail.prg;6;19;lMultiple;ZBasicEmail;~.F.?;;0
zBasicEmail.prg;6;16;nMaxLength;ZBasicEmail;~NIL?;;0
zBasicEmail.prg;6;17;nMinLength;ZBasicEmail;~NIL?;;0
zBasicEmail.prg;6;18;nSize;ZBasicEmail;~NIL?;;0
zBasicNumber.prg;3;12;;ZBasicNumber;;;WInputText
zBasicNumber.prg;6;14;cText;ZBasicNumber;~""?;;0
zBasicNumber.prg;6;16;nMax;ZBasicNumber;~NIL?;;0
zBasicNumber.prg;6;17;nMin;ZBasicNumber;~NIL?;;0
zBasicNumber.prg;6;19;nSize;ZBasicNumber;~NIL?;;0
zBasicNumber.prg;6;18;nStep;ZBasicNumber;~NIL?;;0
zBasicNumber.prg;6;15;nValue;ZBasicNumber;~NIL?;;4
zBasicRadio.prg;3;12;;ZBasicRadio;;;WInput
zBasicRadio.prg;6;14;cValue;ZBasicRadio;~""?;;4
zBasicRadio.prg;6;15;lChecked;ZBasicRadio;~.F.?;;0
zBasicSelect.prg;3;12;;ZBasicSelect;;;WContainer
zBasicSelect.prg;4;24;AddGroup;ZBasicSelect;;cLabel::0#;WSelectItem
zBasicSelect.prg;4;23;AddItem;ZBasicSelect;;cValue::0#cLabel::0#;WSelectItem
zBasicSelect.prg;6;25;aItems;ZBasicSelect;WSelectItem;;0
zBasicSelect.prg;6;15;cForm;ZBasicSelect;~""?;;0
zBasicSelect.prg;6;16;cName;ZBasicSelect;~""?;;0
zBasicSelect.prg;6;14;cValue;ZBasicSelect;~""?;;4
zBasicSelect.prg;6;18;lAutofocus;ZBasicSelect;~.F.?;;0
zBasicSelect.prg;6;19;lDisabled;ZBasicSelect;~.F.?;;0
zBasicSelect.prg;6;20;lMultiple;ZBasicSelect;~.F.?;;0
zBasicSelect.prg;6;21;lRequired;ZBasicSelect;~.F.?;;0
zBasicSelect.prg;6;17;nSize;ZBasicSelect;~NIL?;;0
zBasicSelect.prg;3;111;;ZBasicSelectItem;;;WContainer
zBasicSelect.prg;4;121;AddItem;ZBasicSelectItem;;cValue::0#cLabel::0#;
zBasicSelect.prg;6;113;aItems;ZBasicSelectItem;~{}?WSelectItem;;8
zBasicSelect.prg;6;115;cLabel;ZBasicSelectItem;~""?;;0
zBasicSelect.prg;6;114;cText;ZBasicSelectItem;~""?;;0
zBasicSelect.prg;6;116;cValue;ZBasicSelectItem;~""?;;0
zBasicSelect.prg;6;117;lDisabled;ZBasicSelectItem;~.F.?;;0
zBasicSelect.prg;6;118;lSelected;ZBasicSelectItem;~.F.?;;0
zBasicSelect.prg;4;120;New;ZBasicSelectItem;;oParent::0#cValue::0#cLabel::0#;
zBasicStyle.prg;3;17;;ZBasicStyle;;;
zBasicStyle.prg;4;21;New;ZBasicStyle;;oControl::0#;Self
zBasicStyle.prg;6;19;oActiveControl;ZBasicStyle;;;0
zMaterializeBreadcrumb.prg;3;14;;ZBreadcrumb;;;WLink
zbutton.prg;3;13;;ZButton;;;WControl
zMaterializeButton.prg;3;18;;ZButton;;;WLink
zMaterializeButton.prg;6;26;cColor;ZButton;~""?;;0
zMaterializeButton.prg;6;21;cDisplayType;ZButton;~""?"","filled","tonal","outlined","text","floating";;0
zbutton.prg;6;20;cForm;ZButton;~""?;;0
zMaterializeButton.prg;6;23;cForm;ZButton;~""?;;0
zbutton.prg;6;21;cFormAction;ZButton;~""?;;0
zbutton.prg;6;22;cFormCType;ZButton;~""?"application/x-www-form-urlencoded","multipart/form-data","text/plain";;0
zbutton.prg;6;24;cFormMethod;ZButton;~""?"get","post";;0
zbutton.prg;6;25;cFormTarget;ZButton;~""?"_blank","_self","_parent","_top","framename";;0
zMaterializeButton.prg;6;25;cIcon;ZButton;~""?;;0
zMaterializeButton.prg;6;27;cIconAlign;ZButton;~"right"?"","left","right";;0
zbutton.prg;6;19;cName;ZButton;~""?;;0
zbutton.prg;6;27;cPopOverTarget;ZButton;~""?;;0
zbutton.prg;6;28;cPopOverTargetAction;ZButton;~""?"show","hide","toggle";;0
zbutton.prg;6;17;cText;ZButton;~"Click?;;0
zMaterializeButton.prg;6;24;cText;ZButton;~""?;;0
zbutton.prg;6;16;cType;ZButton;~"button"?"button","reset","submit","cancel";;0
zMaterializeButton.prg;6;20;cType;ZButton;~"button"?"button","reset","submit","cancel";;0
zbutton.prg;6;18;cValue;ZButton;~""?;;0
zMaterializeButton.prg;6;22;cWaveEffect;ZButton;~""?"","normal","light";;0
zMaterializeButton.prg;6;29;lDisabled;ZButton;~.F.?;;0
zbutton.prg;6;30;lDisabled;ZButton;~.F.?;;4
zMaterializeButton.prg;6;33;lElevated;ZButton;~.F.?;;0
zbutton.prg;6;31;lFormNoValidate;ZButton;~.F.?;;0
zMaterializeButton.prg;6;30;llarge;ZButton;~.F.?;;0
zMaterializeButton.prg;6;32;lPulse;ZButton;~.F.?;;0
zMaterializeButton.prg;6;28;lRounded;ZButton;~.F.?;;0
zMaterializeButton.prg;6;31;lSmall;ZButton;~.F.?;;0
zMaterializeButton.prg;4;35;New;ZButton;;oParent::0#;Self
zMaterializeButton.prg;6;38;oIcon;ZButton;WIconGoogle;;0
zMaterializeCard.prg;3;14;;ZCard;;;WDiv
zMaterializeCard.prg;6;40;aActions;ZCard;~{}?WLink;;0
zMaterializeCard.prg;4;32;AddAction;ZCard;;cText::0#cHRef::0#;WLink
zMaterializeCard.prg;6;25;cRevealText;ZCard;~""?;;0
zMaterializeCard.prg;6;24;cRevealTitle;ZCard;~""?;;0
zMaterializeCard.prg;6;23;cSize;ZCard;~""?"small","medium","large";;0
zMaterializeCard.prg;6;27;lHorizontal;ZCard;~.F.?;;0
zMaterializeCard.prg;6;29;lReveal;ZCard;~.F.?;;0
zMaterializeCard.prg;6;28;lStacked;ZCard;~.F.?;;0
zMaterializeCard.prg;6;26;lTitleOnImage;ZCard;~.F.?;;0
zMaterializeCard.prg;4;31;New;ZCard;;oParent::0#;Self
zMaterializeCard.prg;6;20;oButton;ZCard;WButton;;0
zMaterializeCard.prg;6;18;oDivAction;ZCard;WDiv;;0
zMaterializeCard.prg;6;16;oDivContent;ZCard;WDiv;;0
